iter	Passed	Remaining
0	179	179711
1	210	10491122	233	7743933	260	6491644	289	5757155	317	5266166	339	4819077	363	4509888	384	42358
9	406	40196
10	430	38724
11	450	37078112	472	35835113	494	34804114	516	33894115	537	33043116	557	32237117	578	31570118	600	31002119	620	30383220	642	29944221	665	29606222	689	29296223	714	29044224	737	28748225	759	28460226	784	28255227	811	28167228	842	28199229	866	28002330	891	27857
31	914	27657
32	942	27623
33	968	27528
34	990	27303
35	1011	27098
36	1035	26946
37	1062	26887
38	1086	26765
39	1112	26701
40	1137	26608
41	1162	26505
42	1187	26438
43	1210	26344	44	1232	26145	45	1254	26046	46	1276	25847	47	1295	25648	48	1315	25549	49	1337	25450	50	1358	25251	51	1379	25152	52	1398	24953	53	1419	24854	1417	24346
55	1442	24311
56	1466	24263
57	1489	24186
58	1508	24053
59	1527	23935
60	1548	23832
61	1571	23769
62	1598	23772
63	1621	23716
64	1643	23641
65	1669	23626
66	1687	23502
67	1711	23455
68	1733	23383
69	1757	23347
70	1780	23299
71	1806	23286
72	1830	23246
73	1856	23229
74	1880	23192
75	1904	23155
76	1928	23112
77	1951	23070
78	1972	23001
79	1990	22894
80	2011	22826
81	2030	22734
82	2058	22740
83	2079	22675
84	2098	22589
85	2121	22551
86	2158	22646
87	2185	22648
88	2209	22615
89	2240	22651
90	2263	22608
91	2286	22562
92	2313	22563
93	2340	22561
94	2364	22524
95	2391	22518
96	2420	22528
97	2443	22494
98	2466	22443
99	2488	22397
100	2516	22396
101	2542	22380
102	2576	22442
103	2604	22435
104	2631	22430
105	2652	22371
106	2671	22292
107	2700	22306
108	2723	22266
109	2746	22222
110	2768	22171
111	2793	22144
112	2818	22120
113	2845	22117
114	2871	22098
115	2893	22053
116	2918	22025
117	2943	21999
118	2967	21970
119	2996	21971
120	3021	21951
121	3046	21922
122	3071	21902
123	3099	21898
124	3122	21858
125	3147	21834
126	3167	21774
127	3191	21740
128	3214	21702
129	3234	21644
130	3260	21626
131	3283	21593
132	3309	21574
133	3338	21573
134	3374	21619
135	3407	21650
136	3438	21660
137	3468	21667
138	3500	21685
139	3536	21723
140	3562	21701
141	3607	21796
142	3635	21786
143	3674	21842
144	3707	21862
145	3730	21823
146	3769	21874
147	3803	21898
148	3837	21918
14149	3905	221215150	3940	221515151	3977	2218152	3977	22021
15153	4044	222115154	4078	2223155	4080	22075
156	4136	22208
15157	4242	226115158	4277	2262159	4285	22498
16160	4354	226916161	4390	2271162	4397	22581
16163	4469	227816164	4506	228016165	4549	228516166	4586	228716167	4645	230016168	4693	230716169	4740	231417170	4790	23222
171	4841	23308
172	4895	23402
173	4938	23442
174	4983	23491
175	5029	23546
176	5064	23547
177	5110	23599
178	5153	23635
179	5192	23655
180	5229	23663
181	5264	23660
182	5309	23703
183	5344	23701
184	5383	23717
185	5410	23676
186	5453	23711
187	5494	23730
188	5531	23735
189	5563	23716
190	5602	23731
191	5642	23746
192	5677	23739
193	5704	23700
194	5739	23693
195	5770	23671
196	5801	23649
197	5859	23733
198	5903	23761
199	5938	23754
200	5974	23751
201	6013	23757
202	6051	23759
203	6081	23730
204	6105	23677
205	6152	23714
206	6192	23723
207	6219	23683
208	6249	23652
209	6281	23629
210	6318	23625
211	6347	23592
212	6370	235321213	6409	235421214	6452	23558
215	6487	23547
216	6518	235221217	6549	23495
218	6586	23490
219	6617	23460
220	6639	23404
221	6661	23345
222	6686	23299
223	6711	23249
224	6728	23176
225	6748	23111
226	6767	23046
227	6790	22992
228	6818	22955
229	6838	22894
230	6859	22836
231	6880	22777
232	6899	22711
233	6917	22645
234	6939	22588
235	6962	22539
236	6979	22468
237	6999	22409
238	7030	22384
239	7055	22341
240	7077	22288
241	7095	22224
242	7123	22190
243	7145	22138
244	7163	22073
245	7187	22029
246	7208	21975
247	7226	21912
248	7245	21852
249	7265	21795
250	7286	21742
251	7306	21687
252	7329	21640
253	7375	21663
254	7365	21518
255	7385	21463
256	7438	21505
257	7457	21448
258	7480	21400
259	7499	21345
260	7491	21211
261	7542	21244
262	7562	21191
263	7582	21139
264	7604	21091
265	7625	21040
266	7643	20982
267	7665	20936
268	7659	20814
269	7683	20774
270	7704	20724
271	7753	20750
272	7750	20638
273	7770	20588
274	7793	20547
275	7843	20574
276	7866	20532
277	7883	20474
278	7905	20430
279	7927	20384
280	7948	20337
281	7968	20289
282	7992	20249
283	8015	20208
284	8041	20174
285	8063	20129
286	8088	20095
287	8111	20054
288	8138	20021
289	8159	19977
290	8180	19932
291	8200	19883
292	8222	19841
293	8245	19799
294	8267	19757
295	8290	19718
296	8312	19675
297	8331	19627
298	8357	19593
299	8388	19573
300	8440	19601
301	8467	19570
302	8490	19529
303	8519	19504
304	8543	19466
305	8565	19426
306	8595	19403
307	8621	19370
308	8645	19333
309	8675	19310
310	8705	19287
311	8742	19278
312	8773	19256
313	8806	19239
314	8841	19226
315	8876	19213
316	8910	19198
317	8948	19191
318	8986	19185
319	9016	19160
320	9043	19128
321	9074	19106
322	9114	19103
323	9138	19065
324	9168	19042
325	9196	19014
326	9235	19007
327	9273	18999
328	9304	18977
329	9334	18951
330	9363	18924
331	9389	18891
332	9417	18863
333	9449	18843
334	9482	18823
335	9522	18817
336	9560	18808
337	9609	18821
338	9635	18788
339	9663	18758
340	9694	18735
341	9724	18709
342	9757	18690
343	9793	18675
344	9817	18639
345	9853	18625
346	9886	18604
347	9926	18597
348	9953	18566
349	9985	18544
350	10019	185253351	10065	185293352	10103	185183353	10140	185053354	10174	184863355	10218	184853356	10251	184633357	10294	184603358	10330	184453359	10367	184303360	10410	18427
361	10443	18406
362	10476	18384
363	10508	18361
364	10539	183353365	10568	183073366	10596	182773367	10640	182733368	10672	182503369	10709	18234
370	10750	18226
371	10777	18195
372	10804	18161
373	10829	18126
374	10859	180993375	10884	180643376	10916	180393377	10943	180063378	10967	179693379	10990	179313380	11020	179053381	11045	178693382	11080	178503383	11110	17823
384	11146	17805
